Student ID,Student Name,Campus Location,Study Mode,Course Name,Application Date,Agent Name,Application Stage,Business Development Manager,Total Fee,Fee Paid,Intake Name,Date of Birth,Date Conditional Offer,Date Unconditional Offer,Date Enrolled,Email
S0048,Valerie Watts,Dublin,Part-time,MSc Marketing,1/20/2025,Future Abroad,Unconditional Offer,Robert Smith,16254,9316,25-Sep,3/3/1990,4/14/2025,6/6/2025,,uortega@gutierrez.com
S0049,Andrea Estes,Madrid,Weekend,BA Economics,6/5/2025,EduPath,Enrolled,Robert Smith,24703,18218,25-Jan,2/20/1998,6/5/2025,6/14/2025,6/30/2025,pamelabarry@cannon-martin.com
S0050,April Martin,Dublin,Evening,MSc Marketing,8/22/2024,UniBridge,Conditional Offer,Alice Johnson,19668,828,25-Sep,4/20/1996,10/3/2024,,,njenkins@kerr.com
S0051,Robert Watts,Berlin,Evening,BBA,7/14/2024,Future Abroad,Enquiry,Maria Garcia,16536,476,25-Jan,4/5/1991,,,,rbrown@hotmail.com
S0052,Robert Caldwell,Paris,Full-time,MBA,10/20/2024,Global Edu,Conditional Offer,Robert Smith,22873,4410,25-Jan,8/20/2001,11/3/2024,,,lopezjamie@gmail.com
S0053,Samantha Thompson,London,Full-time,MSc Data Science,10/5/2024,Future Abroad,Conditional Offer,Maria Garcia,23136,4645,25-Jan,1/19/1996,4/29/2025,,,rileypatricia@allen-holland.org
S0054,Ashley Coleman,Madrid,Part-time,BA Economics,3/17/2025,Bright Horizons,Enrolled,Emma Brown,23456,17769,25-May,10/29/1997,3/28/2025,4/27/2025,5/3/2025,reiddavid@yahoo.com
S0055,Matthew Mccullough,Berlin,Full-time,MSc Marketing,4/2/2025,Global Edu,Conditional Offer,Maria Garcia,17116,1499,25-Sep,5/4/1991,5/31/2025,,,jacobestrada@hotmail.com
S0056,Peggy Gallagher,Paris,Weekend,BSc Computer Science,2/2/2025,Future Abroad,Enquiry,David Lee,23465,218,25-Sep,7/11/1991,,,,hornlisa@elliott.com
S0057,Thomas White,Dublin,Part-time,BA Economics,10/4/2024,Global Edu,Enrolled,David Lee,9014,6749,25-Jan,11/16/1995,2/8/2025,5/22/2025,6/19/2025,harveycynthia@yahoo.com
S0058,Melissa Collins,Dublin,Full-time,BBA,3/6/2025,Global Edu,Unconditional Offer,Emma Brown,19618,11029,25-May,12/3/1990,4/21/2025,5/13/2025,,adamsmith@hotmail.com
S0059,Tammy Reed,Dublin,Weekend,MSc Data Science,12/12/2024,UniBridge,Unconditional Offer,Emma Brown,23892,18052,25-Sep,10/9/1999,1/1/2025,3/25/2025,,benjaminsmith@yahoo.com
S0060,Shelly Anderson,Paris,Weekend,BBA,10/25/2024,EduPath,Enrolled,Robert Smith,19146,9574,25-Sep,8/9/1997,5/17/2025,6/7/2025,6/19/2025,roberto87@richard.com
S0061,Scott Hunter,Dublin,Full-time,BA Economics,2/14/2025,Global Edu,Conditional Offer,Maria Garcia,22423,4092,25-Jan,1/16/2005,5/4/2025,,,nathanenglish@whitehead.net
S0062,Kevin Durham,Dublin,Evening,MBA,6/25/2025,UniBridge,Enrolled,Emma Brown,18013,16164,25-Sep,11/2/2001,6/27/2025,6/28/2025,7/1/2025,victoria29@ayers.info
S0063,Joseph Hobbs,Dublin,Evening,MSc Marketing,8/7/2024,Global Edu,Conditional Offer,Maria Garcia,21970,844,25-Sep,6/17/2005,2/8/2025,,,smithmichele@yahoo.com
S0064,Jessica Chen,Paris,Evening,MSc Marketing,2/18/2025,Global Edu,Conditional Offer,Alice Johnson,24297,6723,25-May,6/4/1995,5/11/2025,,,fgreen@yahoo.com
S0065,Justin Johnson,Paris,Part-time,MSc Data Science,6/7/2025,UniBridge,Enrolled,Alice Johnson,9025,8808,25-Jan,1/19/2005,6/27/2025,7/1/2025,7/1/2025,susanthompson@jennings.com
S0066,Jessica Lewis,Berlin,Part-time,MSc Marketing,8/10/2024,Global Edu,Conditional Offer,Robert Smith,15226,895,25-Sep,5/23/1998,9/14/2024,,,donna75@hotmail.com
S0067,Katie Mills,Paris,Weekend,BSc Computer Science,12/31/2024,EduPath,Conditional Offer,Alice Johnson,17804,1296,25-Jan,9/12/2003,2/8/2025,,,lisa37@underwood.net
S0068,Edward Hernandez,Berlin,Weekend,BBA,3/30/2025,EduPath,Conditional Offer,Maria Garcia,9073,1622,25-Sep,12/17/1995,6/12/2025,,,donaldchan@hotmail.com
S0069,Tracey Contreras,Berlin,Weekend,MSc Data Science,6/20/2025,Future Abroad,Withdrawn,Maria Garcia,10426,447,25-May,10/12/1989,,,,walkermichael@fields-owen.com
S0070,Angelica Cameron,Dublin,Evening,BSc Computer Science,4/5/2025,UniBridge,Enrolled,David Lee,20043,10981,25-Jan,4/20/1998,5/10/2025,5/25/2025,6/21/2025,davidkeith@gmail.com
S0071,Madeline Lee,Madrid,Full-time,BBA,11/15/2024,Future Abroad,Unconditional Offer,Emma Brown,10056,6761,25-Jan,11/30/2006,1/10/2025,2/10/2025,,gbowers@warren.org
S0072,Elizabeth Chen,London,Full-time,MBA,10/4/2024,UniBridge,Enquiry,Emma Brown,17522,411,25-Sep,1/24/2001,,,,jeffreybryant@gibson-hayes.com
S0073,Kevin Elliott,Madrid,Full-time,MSc Marketing,4/14/2025,Future Abroad,Conditional Offer,Robert Smith,10078,1825,25-May,11/9/2002,4/24/2025,,,randy50@robinson-rodriguez.com
S0074,Ricardo Jones,Madrid,Weekend,BBA,11/11/2024,Bright Horizons,Unconditional Offer,Maria Garcia,22380,19691,25-Sep,11/13/2006,12/20/2024,3/1/2025,,leejon@logan.com
S0075,Daniel Becker,Dublin,Part-time,BA Economics,11/2/2024,Future Abroad,Unconditional Offer,Robert Smith,22079,12919,25-Jan,9/20/1991,4/22/2025,5/24/2025,,benjamin73@santos.org
S0076,Jeffrey Le,Berlin,Evening,MSc Data Science,7/5/2024,UniBridge,Conditional Offer,Maria Garcia,23088,2495,25-Jan,7/8/2006,6/14/2025,,,wallacerobert@yahoo.com
S0077,Austin Jackson,London,Full-time,BBA,1/21/2025,Bright Horizons,Enrolled,Alice Johnson,24306,22066,25-Jan,1/13/1997,3/12/2025,5/16/2025,5/24/2025,williamhill@george-rodriguez.com
S0078,Brian Young,Dublin,Part-time,MSc Marketing,10/2/2024,Bright Horizons,Conditional Offer,Alice Johnson,17282,3902,25-May,1/12/2005,3/31/2025,,,ronnierose@yahoo.com
S0079,Sherry Reynolds,Madrid,Evening,BBA,3/14/2025,UniBridge,Conditional Offer,Alice Johnson,18482,5309,25-Jan,6/8/2006,4/24/2025,,,longjennifer@yahoo.com
S0080,Paul Pierce,London,Part-time,MSc Marketing,9/29/2024,EduPath,Conditional Offer,Alice Johnson,10621,1277,25-May,11/16/1993,10/2/2024,,,tjohnson@yahoo.com
S0081,Mary Smith,Madrid,Weekend,BSc Computer Science,9/24/2024,Global Edu,Enrolled,David Lee,23034,17633,25-May,9/19/2006,5/9/2025,6/3/2025,6/12/2025,joeellis@gmail.com
S0082,Ryan Phillips,Paris,Part-time,BSc Computer Science,10/4/2024,EduPath,Unconditional Offer,Alice Johnson,14946,8014,25-Jan,6/26/1993,3/29/2025,5/18/2025,,simsteresa@webster.com
S0083,Marcus Garza,London,Weekend,BA Economics,11/3/2024,UniBridge,Enquiry,Maria Garcia,24939,234,25-Sep,10/6/1998,,,,aguirrechristina@mcclure.org
S0084,Alexander Crawford,Dublin,Evening,BBA,6/18/2025,Future Abroad,Withdrawn,Emma Brown,9617,266,25-May,8/16/2003,,,,michaelsandoval@frank-howe.biz
S0085,Michelle Kelly,Dublin,Evening,MSc Data Science,5/2/2025,Future Abroad,Enquiry,Alice Johnson,9673,104,25-Jan,10/2/2001,,,,cdouglas@gmail.com
S0086,Patrick Sanchez,London,Full-time,MSc Marketing,10/30/2024,Global Edu,Conditional Offer,Emma Brown,21053,2794,25-Jan,6/21/1997,11/1/2024,,,qmaxwell@hanson.org
S0087,Samantha Richards,Madrid,Full-time,MBA,10/25/2024,Bright Horizons,Withdrawn,Maria Garcia,18404,175,25-Sep,9/25/1993,,,,joannelarsen@mercado.com
S0088,Victoria Lawrence,Berlin,Weekend,BA Economics,8/25/2024,UniBridge,Enquiry,Maria Garcia,24664,409,25-Sep,11/20/1989,,,,erinwiggins@yahoo.com
S0089,Pamela Mathews,London,Full-time,BBA,7/5/2024,EduPath,Enrolled,Robert Smith,12176,6489,25-May,5/11/1998,9/16/2024,1/27/2025,2/27/2025,williamshannon@yahoo.com
S0090,John Brown,Berlin,Evening,BBA,11/19/2024,Global Edu,Conditional Offer,Maria Garcia,24161,2173,25-Jan,1/8/1999,6/12/2025,,,timothyspencer@gmail.com
S0091,Samuel Foster,London,Full-time,MBA,6/22/2025,Future Abroad,Conditional Offer,Alice Johnson,19191,3801,25-Jan,9/2/2005,6/29/2025,,,nruiz@gmail.com
S0092,Thomas Brown,Dublin,Weekend,MSc Marketing,10/8/2024,Future Abroad,Conditional Offer,Robert Smith,16488,4536,25-Sep,6/10/2007,11/25/2024,,,rachel98@elliott-lin.org
S0093,Thomas Bryant,Madrid,Weekend,BSc Computer Science,7/15/2024,Future Abroad,Enquiry,Emma Brown,16070,166,25-Jan,7/16/1991,,,,williamsgrace@hotmail.com
S0094,Joseph Davis,Madrid,Full-time,BBA,1/17/2025,UniBridge,Withdrawn,Maria Garcia,16868,70,25-Sep,6/27/1991,,,,jason13@daugherty-moore.com
S0095,Linda Scott,Madrid,Weekend,BBA,10/7/2024,Global Edu,Conditional Offer,Emma Brown,18445,4537,25-Sep,10/14/1993,12/13/2024,,,mike21@hotmail.com
S0096,Leslie Warner,London,Full-time,BSc Computer Science,12/19/2024,EduPath,Unconditional Offer,Alice Johnson,15931,12231,25-May,7/8/1997,1/15/2025,2/20/2025,,anthonymoore@perez.net
S0097,Christian Dunlap,Madrid,Weekend,MBA,5/8/2025,Future Abroad,Withdrawn,Alice Johnson,14125,5,25-May,7/2/1995,,,,lindajohnston@yahoo.com
S0098,George Patel,Paris,Weekend,MBA,5/23/2025,UniBridge,Conditional Offer,Emma Brown,14387,3473,25-Jan,1/10/1991,5/27/2025,,,chennicholas@hernandez.com
S0099,David Fisher,Madrid,Evening,MSc Data Science,9/26/2024,Bright Horizons,Conditional Offer,Robert Smith,14505,1203,25-May,3/14/1998,2/10/2025,,,brandiroberts@torres.com
S0100,Denise Jenkins,Madrid,Weekend,MSc Marketing,11/7/2024,UniBridge,Conditional Offer,Maria Garcia,12401,2838,25-Sep,12/3/1997,1/25/2025,,,rthompson@cunningham-hudson.net
S0101,Brandon Hayes,Madrid,Full-time,MSc Data Science,8/7/2024,Future Abroad,Unconditional Offer,Maria Garcia,15717,9778,25-Sep,11/14/1990,5/9/2025,5/21/2025,,jlewis@gmail.com
S0102,Erica Leonard,Paris,Evening,BSc Computer Science,12/25/2024,Global Edu,Conditional Offer,Robert Smith,22017,5935,25-Sep,6/18/2007,3/23/2025,,,melanierichardson@smith.com
S0103,Nicole Aguirre,Dublin,Part-time,MSc Data Science,1/8/2025,Future Abroad,Conditional Offer,Emma Brown,24018,5142,25-May,6/29/2002,2/12/2025,,,richmondjeremiah@hotmail.com
S0104,Amy Mosley,Dublin,Part-time,MSc Data Science,12/11/2024,Future Abroad,Unconditional Offer,Maria Garcia,13107,13048,25-Sep,12/20/2002,3/3/2025,4/23/2025,,escobaranthony@yahoo.com
S0105,David Day,Berlin,Part-time,MBA,10/7/2024,Bright Horizons,Conditional Offer,Emma Brown,18857,1998,25-Sep,8/5/1997,10/8/2024,,,claudiabaker@hotmail.com
S0106,Suzanne Rodriguez,Madrid,Part-time,MSc Data Science,4/30/2025,EduPath,Enquiry,Emma Brown,9095,433,25-May,12/24/1997,,,,daniellewoodward@gmail.com
S0107,Karen Lopez,Berlin,Evening,MBA,2/10/2025,Bright Horizons,Enrolled,Emma Brown,16125,15232,25-Sep,7/27/1994,6/13/2025,6/29/2025,6/30/2025,gonzalezheather@ford-wise.com
S0108,Linda Floyd,London,Full-time,BSc Computer Science,9/26/2024,Bright Horizons,Enrolled,David Lee,11674,11417,25-Sep,11/14/1992,10/12/2024,3/26/2025,4/15/2025,kenneth63@hotmail.com
S0109,Kristin Park,London,Full-time,MSc Data Science,2/25/2025,Bright Horizons,Unconditional Offer,Emma Brown,23907,13826,25-Sep,2/25/1999,3/25/2025,3/29/2025,,erikakelley@yahoo.com
S0110,Michael Sloan,Madrid,Part-time,BBA,11/21/2024,Future Abroad,Enrolled,Maria Garcia,21230,19943,25-Jan,12/3/1989,4/9/2025,5/10/2025,5/22/2025,pparker@hotmail.com
S0111,Stacy Nichols,Paris,Weekend,MSc Data Science,7/23/2024,Bright Horizons,Enrolled,Robert Smith,16403,10837,25-Sep,12/28/1991,9/8/2024,3/19/2025,6/24/2025,anthony75@gmail.com
S0112,Allison Nguyen,Berlin,Part-time,MBA,1/1/2025,Future Abroad,Enquiry,Alice Johnson,23492,472,25-May,1/30/2005,,,,robinsonrose@gmail.com
S0113,Wesley Gilmore,Berlin,Part-time,MBA,2/16/2025,Global Edu,Conditional Offer,Alice Johnson,19142,1612,25-Jan,4/1/2005,4/7/2025,,,arnolderic@moon-james.net
S0114,Donald Wilson,Dublin,Part-time,BSc Computer Science,4/15/2025,Bright Horizons,Unconditional Offer,Alice Johnson,22100,17959,25-Jan,5/19/1994,6/9/2025,6/9/2025,,daniel79@hotmail.com
S0115,Brianna Garcia,Paris,Full-time,BSc Computer Science,12/15/2024,Future Abroad,Unconditional Offer,Emma Brown,10922,8534,25-May,4/6/1994,6/22/2025,6/22/2025,,trobertson@beck.com
S0116,Angela Jackson,Madrid,Full-time,BA Economics,7/3/2024,Future Abroad,Enquiry,David Lee,11949,139,25-Sep,12/13/1999,,,,kenneth01@yahoo.com
S0117,William French,Berlin,Part-time,MSc Data Science,10/11/2024,UniBridge,Unconditional Offer,Alice Johnson,12480,10052,25-Sep,7/23/1991,5/1/2025,6/16/2025,,fmorgan@grant-moore.info
S0118,Erin Lewis,Berlin,Part-time,BSc Computer Science,10/16/2024,UniBridge,Conditional Offer,David Lee,12038,1948,25-Jan,6/13/1992,5/26/2025,,,athomas@yahoo.com
S0119,Emily Quinn,London,Part-time,BA Economics,12/18/2024,UniBridge,Enrolled,Robert Smith,15755,13235,25-May,11/8/1996,2/25/2025,5/5/2025,6/12/2025,jonescesar@herrera.com
S0120,Claudia Barnes MD,London,Part-time,BBA,11/8/2024,EduPath,Enquiry,Maria Garcia,11261,436,25-Sep,8/24/1993,,,,jwilliams@brooks-dean.com
S0121,Samuel Martinez,Paris,Evening,MBA,4/24/2025,UniBridge,Enquiry,David Lee,12548,170,25-Sep,1/27/1991,,,,kimberly67@hunter.info
S0122,Carolyn Burgess,Madrid,Weekend,BBA,7/7/2024,UniBridge,Enquiry,Emma Brown,12052,43,25-Sep,3/1/2007,,,,elizabethweaver@powers.com
S0123,Veronica Lee,Madrid,Weekend,MSc Marketing,4/10/2025,Bright Horizons,Enrolled,Emma Brown,23403,14751,25-Sep,12/17/1999,5/29/2025,6/14/2025,6/18/2025,mpeterson@gmail.com
S0124,Laura Tran,Paris,Part-time,MBA,8/12/2024,UniBridge,Unconditional Offer,Emma Brown,17481,9987,25-Jan,7/11/1995,1/23/2025,4/25/2025,,sandraallison@pratt.com
S0125,Sara Reed,Dublin,Part-time,BBA,3/3/2025,Global Edu,Enrolled,Maria Garcia,17450,16177,25-May,3/21/2002,4/20/2025,6/15/2025,7/1/2025,anthony54@bryan.com
S0126,Timothy King,Paris,Part-time,BBA,5/14/2025,Global Edu,Enquiry,Emma Brown,18128,346,25-May,1/16/1990,,,,rebecca48@olsen-garrison.net
S0127,Charlotte Marshall,Dublin,Evening,MBA,9/12/2024,Global Edu,Conditional Offer,Emma Brown,20247,2553,25-May,2/16/2002,12/5/2024,,,sarahwatson@evans-ashley.info
S0128,Mrs. Robin York,Madrid,Part-time,MSc Marketing,11/12/2024,Future Abroad,Unconditional Offer,David Lee,14243,12392,25-Jan,7/19/1998,2/10/2025,3/16/2025,,villegasaudrey@yahoo.com
S0129,Brendan Boyd,Berlin,Part-time,BA Economics,5/19/2025,Bright Horizons,Enrolled,Alice Johnson,16591,13005,25-Sep,12/3/2001,6/26/2025,6/30/2025,7/1/2025,patrick78@romero.biz
S0130,Nicholas Hernandez,Paris,Weekend,MBA,6/13/2025,Future Abroad,Conditional Offer,Maria Garcia,18499,972,25-Jan,12/11/1999,6/17/2025,,,robert24@ortiz.info
S0131,Charles Bennett,Paris,Evening,BSc Computer Science,10/6/2024,UniBridge,Withdrawn,Emma Brown,18683,85,25-Jan,10/7/1996,,,,ischneider@fuller.com
S0132,Katherine Phillips,Madrid,Full-time,MBA,11/11/2024,EduPath,Unconditional Offer,Robert Smith,14667,13594,25-May,11/10/1989,1/9/2025,3/2/2025,,daniel76@perez.info
S0133,Amy Cline,Madrid,Full-time,BA Economics,5/18/2025,EduPath,Conditional Offer,David Lee,13386,962,25-Sep,12/22/1994,6/11/2025,,,bethtate@white.org
S0134,Tyler Williams,Madrid,Evening,BA Economics,5/3/2025,UniBridge,Enquiry,David Lee,17309,186,25-Sep,3/28/1996,,,,meghan18@brown-rogers.com
S0135,Richard Paul,Madrid,Part-time,BBA,12/29/2024,Bright Horizons,Enrolled,David Lee,24882,17460,25-Sep,1/1/1998,1/7/2025,6/6/2025,6/13/2025,dhall@morris.com
S0136,Lisa Fowler,London,Evening,BA Economics,2/16/2025,Global Edu,Conditional Offer,Alice Johnson,11305,1062,25-Jan,12/3/2004,6/16/2025,,,frostelizabeth@yahoo.com
S0137,Mrs. Alexis Tucker,Berlin,Full-time,MSc Marketing,6/13/2025,UniBridge,Conditional Offer,David Lee,20342,6065,25-May,2/22/2003,6/18/2025,,,vasquezaaron@peters.com
S0138,Laura Waters,Madrid,Evening,BA Economics,1/18/2025,Future Abroad,Enquiry,Maria Garcia,15665,437,25-Jan,10/31/1997,,,,lauren04@yahoo.com
S0139,Cindy Woodward,Madrid,Part-time,MSc Data Science,3/16/2025,UniBridge,Unconditional Offer,Alice Johnson,21223,14459,25-Sep,3/27/1997,3/19/2025,4/23/2025,,washingtoncheryl@hotmail.com
S0140,Erin Alexander,Berlin,Full-time,BBA,8/14/2024,UniBridge,Enrolled,David Lee,14667,10294,25-Sep,8/8/2005,12/29/2024,1/8/2025,6/17/2025,jamesdiaz@williams-wright.info
S0141,David Hobbs,Madrid,Full-time,BA Economics,4/2/2025,EduPath,Conditional Offer,Robert Smith,16628,732,25-Sep,12/9/1992,5/17/2025,,,markfarmer@rivas-coleman.com
